question_type	question_text	required	page_number	option_text	option_values
instruction	<p>For each of the following statements, please use the rating scale to indicate how much the statement applied to you <strong>OVER THE PAST WEEK</strong>. There are no right or wrong answers. Do not spend too much time on any statement.</p><p>The rating scale is <ul><li>Did not apply to me at all (NEVER)</li><li>Applied to me to some degree, or some of the time (SOMETIMES)</li><li>Applied to me to a considerable degree, or a good part of the time (OFTEN)</li><li>Applied to me very much, or most of the time (ALMOST ALWAYS)</li></p> 	0	1		
radio	I found it hard to wind down	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I was aware of dryness of my mouth	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I couldn't seem to experience any positive feeling at all	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I found it difficult to work up the initiative to do things	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I tended to over-react to situations	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I experienced trembling (e.g. in the hands)	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I felt that I was using a lot of nervous energy 	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I was worried about situations in which I might panic and make a fool of myself	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I felt that I had nothing to look forward to	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I found myself getting agitated	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I found it difficult to relax	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I felt down-hearted and blue	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I was intolerant of anything that kept me from getting on with what I was doing	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I felt I was close to panic 	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I was unable to become enthusiastic about anything	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I felt I wasn't worth much as a person	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I felt that I was rather touchy	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat) 	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I felt scared without any good reason	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
radio	I felt that life was meaningless	1	1	NEVER, SOMETIMES, OFTEN, ALMOST ALWAYS	0,1,2,3
instruction	Thanks for completing this survey. Press <strong>finish</strong> to continue.	0	3		
